Hour,Gross Sales,Friday,Monday,Saturday,Sunday,Thursday,Tuesday,Wednesday,Month,date,Year
22,25.77,0,0,0,1,0,0,0,1,20,2019
23,7.9,0,0,0,1,0,0,0,1,20,2019
12,82.85,0,1,0,0,0,0,0,1,21,2019
13,47.08,0,1,0,0,0,0,0,1,21,2019
14,86.41,0,1,0,0,0,0,0,1,21,2019
15,97.75,0,1,0,0,0,0,0,1,21,2019
16,41.09,0,1,0,0,0,0,0,1,21,2019
17,44.31,0,1,0,0,0,0,0,1,21,2019
18,69.92,0,1,0,0,0,0,0,1,21,2019
19,43.76,0,1,0,0,0,0,0,1,21,2019
20,72.23,0,1,0,0,0,0,0,1,21,2019
21,57.84,0,1,0,0,0,0,0,1,21,2019
22,38.19,0,1,0,0,0,0,0,1,21,2019
23,38.32,0,1,0,0,0,0,0,1,21,2019
12,30.07,0,0,0,0,0,1,0,1,22,2019
13,70.89,0,0,0,0,0,1,0,1,22,2019
14,35.68,0,0,0,0,0,1,0,1,22,2019
15,37.76,0,0,0,0,0,1,0,1,22,2019
16,23.97,0,0,0,0,0,1,0,1,22,2019
17,45,0,0,0,0,0,1,0,1,22,2019
18,110.11,0,0,0,0,0,1,0,1,22,2019
19,83.67,0,0,0,0,0,1,0,1,22,2019
20,41.56,0,0,0,0,0,1,0,1,22,2019
21,115.24,0,0,0,0,0,1,0,1,22,2019
22,27.69,0,0,0,0,0,1,0,1,22,2019
23,12.4,0,0,0,0,0,1,0,1,22,2019
12,30.87,0,0,0,0,0,0,1,1,23,2019
13,16.55,0,0,0,0,0,0,1,1,23,2019
14,70.57,0,0,0,0,0,0,1,1,23,2019
15,32.58,0,0,0,0,0,0,1,1,23,2019
16,42.02,0,0,0,0,0,0,1,1,23,2019
17,69.81,0,0,0,0,0,0,1,1,23,2019
18,60.05,0,0,0,0,0,0,1,1,23,2019
19,36.13,0,0,0,0,0,0,1,1,23,2019
20,49.54,0,0,0,0,0,0,1,1,23,2019
21,47.37,0,0,0,0,0,0,1,1,23,2019
22,46.89,0,0,0,0,0,0,1,1,23,2019
23,17.65,0,0,0,0,0,0,1,1,23,2019
12,29.66,0,0,0,0,1,0,0,1,24,2019
13,49.22,0,0,0,0,1,0,0,1,24,2019
14,51.56,0,0,0,0,1,0,0,1,24,2019
15,87.9,0,0,0,0,1,0,0,1,24,2019
16,65.68,0,0,0,0,1,0,0,1,24,2019
17,60.93,0,0,0,0,1,0,0,1,24,2019
18,34.23,0,0,0,0,1,0,0,1,24,2019
19,32.18,0,0,0,0,1,0,0,1,24,2019
20,17.09,0,0,0,0,1,0,0,1,24,2019
21,54,0,0,0,0,1,0,0,1,24,2019
22,15.59,0,0,0,0,1,0,0,1,24,2019
23,32.63,0,0,0,0,1,0,0,1,24,2019
12,13.93,1,0,0,0,0,0,0,1,25,2019
13,95.81,1,0,0,0,0,0,0,1,25,2019
14,79.43,1,0,0,0,0,0,0,1,25,2019
15,92.78,1,0,0,0,0,0,0,1,25,2019
16,89.83,1,0,0,0,0,0,0,1,25,2019
17,55.5,1,0,0,0,0,0,0,1,25,2019
18,49.91,1,0,0,0,0,0,0,1,25,2019
19,38.07,1,0,0,0,0,0,0,1,25,2019
20,92.07,1,0,0,0,0,0,0,1,25,2019
21,67.13,1,0,0,0,0,0,0,1,25,2019
22,41.79,1,0,0,0,0,0,0,1,25,2019
23,47.75,1,0,0,0,0,0,0,1,25,2019
0,15.84,0,0,1,0,0,0,0,1,26,2019
12,56.88,0,0,1,0,0,0,0,1,26,2019
13,42.26,0,0,1,0,0,0,0,1,26,2019
14,39.55,0,0,1,0,0,0,0,1,26,2019
15,92.46,0,0,1,0,0,0,0,1,26,2019
16,101.05,0,0,1,0,0,0,0,1,26,2019
17,62.61,0,0,1,0,0,0,0,1,26,2019
18,101.95,0,0,1,0,0,0,0,1,26,2019
19,85.61,0,0,1,0,0,0,0,1,26,2019
20,38.28,0,0,1,0,0,0,0,1,26,2019
21,84.68,0,0,1,0,0,0,0,1,26,2019
22,54.22,0,0,1,0,0,0,0,1,26,2019
23,36.37,0,0,1,0,0,0,0,1,26,2019
12,136.64,0,0,0,1,0,0,0,1,27,2019
13,76.43,0,0,0,1,0,0,0,1,27,2019
14,69.25,0,0,0,1,0,0,0,1,27,2019
15,127.49,0,0,0,1,0,0,0,1,27,2019
16,136.26,0,0,0,1,0,0,0,1,27,2019
17,77.26,0,0,0,1,0,0,0,1,27,2019
18,26.24,0,0,0,1,0,0,0,1,27,2019
19,38.32,0,0,0,1,0,0,0,1,27,2019
20,63.76,0,0,0,1,0,0,0,1,27,2019
21,132.05,0,0,0,1,0,0,0,1,27,2019
22,34.42,0,0,0,1,0,0,0,1,27,2019
23,17.68,0,0,0,1,0,0,0,1,27,2019
11,7.98,0,1,0,0,0,0,0,1,28,2019
12,51.62,0,1,0,0,0,0,0,1,28,2019
13,38.33,0,1,0,0,0,0,0,1,28,2019
14,28.89,0,1,0,0,0,0,0,1,28,2019
15,45.61,0,1,0,0,0,0,0,1,28,2019
16,85.66,0,1,0,0,0,0,0,1,28,2019
17,99.74,0,1,0,0,0,0,0,1,28,2019
18,60.91,0,1,0,0,0,0,0,1,28,2019
19,67.18,0,1,0,0,0,0,0,1,28,2019
20,76.72,0,1,0,0,0,0,0,1,28,2019
21,66.52,0,1,0,0,0,0,0,1,28,2019
22,82.92,0,1,0,0,0,0,0,1,28,2019
23,59.76,0,1,0,0,0,0,0,1,28,2019
9,-341.27,0,0,0,0,0,1,0,1,29,2019
12,29.97,0,0,0,0,0,1,0,1,29,2019
13,30.13,0,0,0,0,0,1,0,1,29,2019
14,16.59,0,0,0,0,0,1,0,1,29,2019
15,44.87,0,0,0,0,0,1,0,1,29,2019
16,65.85,0,0,0,0,0,1,0,1,29,2019
17,5.5,0,0,0,0,0,1,0,1,29,2019
18,36.74,0,0,0,0,0,1,0,1,29,2019
19,31.65,0,0,0,0,0,1,0,1,29,2019
20,54.56,0,0,0,0,0,1,0,1,29,2019
21,17.71,0,0,0,0,0,1,0,1,29,2019
22,23.22,0,0,0,0,0,1,0,1,29,2019
23,27.13,0,0,0,0,0,1,0,1,29,2019
11,5.25,0,0,0,0,0,0,1,1,30,2019
12,49.26,0,0,0,0,0,0,1,1,30,2019
13,37.09,0,0,0,0,0,0,1,1,30,2019
14,19.28,0,0,0,0,0,0,1,1,30,2019
15,66.66,0,0,0,0,0,0,1,1,30,2019
16,84.13,0,0,0,0,0,0,1,1,30,2019
17,67.08,0,0,0,0,0,0,1,1,30,2019
18,35.29,0,0,0,0,0,0,1,1,30,2019
19,73.6,0,0,0,0,0,0,1,1,30,2019
20,60.99,0,0,0,0,0,0,1,1,30,2019
21,79.57,0,0,0,0,0,0,1,1,30,2019
22,31.25,0,0,0,0,0,0,1,1,30,2019
23,12.8,0,0,0,0,0,0,1,1,30,2019
13,14.29,0,0,0,0,1,0,0,1,31,2019
14,21.14,0,0,0,0,1,0,0,1,31,2019
15,121.07,0,0,0,0,1,0,0,1,31,2019
16,71.78,0,0,0,0,1,0,0,1,31,2019
17,91,0,0,0,0,1,0,0,1,31,2019
18,102.45,0,0,0,0,1,0,0,1,31,2019
19,99.92,0,0,0,0,1,0,0,1,31,2019
20,128.48,0,0,0,0,1,0,0,1,31,2019
21,61.38,0,0,0,0,1,0,0,1,31,2019
22,93.28,0,0,0,0,1,0,0,1,31,2019
23,9.94,0,0,0,0,1,0,0,1,31,2019
12,44.74,1,0,0,0,0,0,0,2,1,2019
13,104.17,1,0,0,0,0,0,0,2,1,2019
14,52.89,1,0,0,0,0,0,0,2,1,2019
15,43.38,1,0,0,0,0,0,0,2,1,2019
16,150.79,1,0,0,0,0,0,0,2,1,2019
17,193.33,1,0,0,0,0,0,0,2,1,2019
18,123.19,1,0,0,0,0,0,0,2,1,2019
19,93.12,1,0,0,0,0,0,0,2,1,2019
